accepted_name,genus,abund_value,period,early_interval,late_interval,max_ma,min_ma,"Avg(max_ma, min_ma)",paleomodel,geoplate,paleoage,paleolng,paleolat,environment,primary_reference,Quality
Dolichophonus loudonensis,Dolichophonus,1,Silurian,Telychian,,438.5,433.4,435.95,gplates,313,mid,-70.2,-12.47,offshore indet.,M. Laurie. 1899. On a Silurian scorpion and some additional eurypterid remains from the Pentland Hills. Transactions of the Royal Society of Edinburgh 39:575-590,High
Palaeophonus caledonicus,Palaeophonus,1,Silurian,Telychian,Sheinwoodian,438.5,430.5,434.5,gplates,313,mid,-68.84,-12.53,marine indet.,"R. I. Pocock. 1901. The Scottish Silurian scorpion. Quarterly Journal of Microscopical Science, New Series 44:291-311",High
Palaeophonus nuncius,Palaeophonus,6,Silurian,Sheinwoodian,,433.4,430.5,431.95,gplates,302,mid,-49.62,-8.7,carbonate indet.,T. Thorell and G. Lindström. 1884. A Silurian scorpion. The Western Daily Press 1884(Dec 17):3,High
Eramoscorpius brucensis,Eramoscorpius,11,Silurian,Wenlock,,433.4,427.4,430.4,gplates,101,mid,-83.05,-26.1,lagoonal/restricted shallow subtidal,"J. B. Waddington, D. M. Rudkin, and J. A. Dunlop. 2015. A new mid-Silurian aquatic scorpion - one step closer to land?. Biology Letters 11:20140815",High
Proscorpius osborni,Proscorpius,7,Silurian,Pridoli,,423,419.2,421.1,gplates,101,mid,-64.06,-25.78,lagoonal/restricted shallow subtidal,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-287,Low
Proscorpius osborni,Proscorpius,3,Silurian,Pridoli,,423,419.2,421.1,gplates,101,mid,-64.06,-25.78,lagoonal/restricted shallow subtidal,E. N. Kjellesvig-Waering. 1966. Silurian scorpions of New York. Journal of Paleontology 40:359-375,Low
Palaeophonus osborni,Palaeophonus,1,Silurian,Pridoli,,423,419.2,421.1,gplates,101,mid,-64.34,-25.8,lagoonal/restricted shallow subtidal,R. P. Whitfield. 1885. An American Silurian scorpion. Science 6:87-88,High
Proscorpius osborni,Proscorpius,1,Silurian,Pridoli,,423,419.2,421.1,gplates,101,mid,-64.06,-25.78,lagoonal/restricted shallow subtidal,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-287,Low
Hydroscorpius denisoni,Hydroscorpius,1,Early Devonian,Lochkovian,,419.2,410.8,415,gplates,101,mid,-82.63,-22.21,estuary/bay,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-288,Low
Acanthoscorpio mucronatus,Acanthoscorpio,1,Early Devonian,Lochkovian,,419.2,410.8,415,gplates,101,mid,-82.63,-22.21,estuary/bay,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-289,Low
Praearcturus,Praearcturus,1,Early Devonian,Lochkovian,,419.2,410.8,415,gplates,101,mid,-82.63,-22.21,estuary/bay,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-290,Low
Praearcturus gigas,Praearcturus,4,Early Devonian,Lochkovian,,419.2,410.8,415,gplates,315,mid,-40.73,-8.49,terrestrial indet.,"H. Woodward. 1871. On the remains of a giant isopod Praearcturus gigas (H. Woodward) from the Old Red Sandstone of Rowlestone quarry, Herefordshire. Transactions of the Woolhope Field Naturalist’s Club 1870:266-270",Low 
Brontoscorpio anglicus,Brontoscorpio,1,Early Devonian,Lochkovian,,419.2,410.8,415,gplates,315,mid,-40.76,-7.9,terrestrial indet.,E. N. Kjellesvig-Waering. 1972. Brontoscorpio anglicus: a gigantic lower Paleozoic scorpion from central England. Journal of Paleontology 46:39-42,High
Branchioscorpio richardsoni,Branchioscorpio,1,Early Devonian,Lochkovian,,419.2,410.8,415,gplates,101,mid,-82.63,-22.21,estuary/bay,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-287,Low
Waeringoscorpio westerwaldensis,Waeringoscorpio,10,Early Devonian,Pragian,,410.8,407.6,409.2,gplates,315,mid,-29.66,-4.95,estuary/bay,"M. Poschmann, J. A. Dunlop, and C. Kamenz, G. Scholtz. 2008. The Lower Devonian scorpion Waeringoscorpio and the respirstory nature of its filamentous structures, with the description of a new species from the Westerwald area, Germany. Paläontologische Zeitschrift 82:418-436",High
Waeringoscorpio hefteri,Waeringoscorpio,3,Early Devonian,Early Emsian,,409.1,402.5,405.8,gplates,315,mid,-27.31,-7.91,estuary/bay,"M. Poschmann, J. A. Dunlop, and C. Kamenz, G. Scholtz. 2008. The Lower Devonian scorpion Waeringoscorpio and the respirstory nature of its filamentous structures, with the description of a new species from the Westerwald area, Germany. Paläontologische Zeitschrift 82:418-436",High
Petaloscorpio bureaui,Petaloscorpio,1,Late Devonian,Frasnian,,382.7,372.2,377.45,gplates,101,mid,-33.7,-28.8,estuary/bay,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-287,Low
Hubeiscorpio gracilitarsus,Hubeiscorpio,1,Late Devonian,Frasnian,,382.7,372.2,377.45,gplates,611,mid,86.53,-21.72,terrestrial indet.,"D. Walossek, C. S. Li, and C. Brauckmann. 1990. A scorpion from the Upper Devonian of Hubei Province, China (Arachnida, Scorpionida). Neues Jahrbuch für Geologie und Paläontologie, Montashefte 1990(3):169-180",High
Gondwanascorpio emzantsiensis,Gondwanascorpio,2,Late Devonian,Famennian,,372.2,358.9,365.55,gplates,701,mid,-172.54,-62.52,lagoonal,R. W. Gess. 2013. The earliest record of terrestrial animals in Gondwana: a scorpion from the Famennian (Late Devonian) Witpoort Formation of South Africa. African Invertebrates 54:373-379,High
Trachyscorpio squarrosus,Trachyscorpio,3,Late Devonian,Ivorian,,353.8,345.3,349.55,gplates,313,mid,-11.93,-32.07,fluvial-lacustrine indet.,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-287,Low
Archaeoctonus glaber,Archaeoctonus,2,Early Carboniferous,Chadian,,345.3,345,345.15,gplates,313,mid,-11.3,-31.73,marine indet.,"B. N. Peach. 1883. A new species of fossil scorpions from the Carboniferous rocks of Scotland and the English borders, with a review of the genera Eoscorpius and Mazonia of Messrs Meek and Worthen. Transactions of the Royal Society of Edinburgh 30:397-412",High
Scoloposcorpio cramondensis,Scoloposcorpio,2,Early Carboniferous,Chadian,,345.3,345,345.15,gplates,313,mid,-11.49,-30.84,marine indet.,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-287,Low
Pseudarchaeoctonus denticulatus,Pseudarchaeoctonus,1,Early Carboniferous,Arundian,,345,342.8,343.9,gplates,313,mid,-11.12,-31.43,marine indet.,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-288,Low
Gigantoscorpio willsi,Gigantoscorpio,3,Early Carboniferous,Arundian,,345,342.8,343.9,gplates,313,mid,-11.12,-31.43,marine indet.,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-289,Low
Trachyscorpio,Trachyscorpio,1,Early Carboniferous,Arundian,,345,342.8,343.9,gplates,313,mid,-11.06,-31.52,marine indet.,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-290,Low
Loboarchaeoctonus squamosus,Loboarchaeoctonus,3,Early Carboniferous,Arundian,,345,342.8,343.9,gplates,313,mid,-11.06,-31.52,marine indet.,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-291,Low
Anthracochaerilus palustris,Anthracochaerilus,1,Early Carboniferous,Arundian,,345,342.8,343.9,gplates,313,mid,-11.06,-31.52,marine indet.,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-292,Low
Phoxiscorpio peachi,Phoxiscorpio,1,Early Carboniferous,Arundian,Holkerian,345,339.4,342.2,gplates,313,mid,-10.79,-30.24,marine indet.,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-293,Low
Centromachus euglyptus,Centromachus,1,Early Carboniferous,Visean,,346.7,330.9,338.8,gplates,315,mid,-8.49,-29.11,marginal marine indet.,"A. J. Jeram. 1994. Scorpions from the Viséan of East Kirkton, West Lothian, Scotland, with a revision of the infraorder Mesoscorpionina. Transactions of the Royal Society of Edinburgh: Earth Sciences 84:283-299",Low
Acanthracochaerilus palustris,Acanthracochaerilus,1,Early Carboniferous,Visean,,346.7,330.9,338.8,gplates,315,mid,-8.49,-29.11,marginal marine indet.,"A. J. Jeram. 1994. Scorpions from the Viséan of East Kirkton, West Lothian, Scotland, with a revision of the infraorder Mesoscorpionina. Transactions of the Royal Society of Edinburgh: Earth Sciences 84:283-299",Low
Gigantoscorpio willsi,Gigantoscorpio,1,Early Carboniferous,Visean,,346.7,330.9,338.8,gplates,315,mid,-8.49,-29.11,marginal marine indet.,"A. J. Jeram. 1994. Scorpions from the Viséan of East Kirkton, West Lothian, Scotland, with a revision of the infraorder Mesoscorpionina. Transactions of the Royal Society of Edinburgh: Earth Sciences 84:283-299",Low
Eskiscorpio parvus,Eskiscorpio,1,Early Carboniferous,Visean,,346.7,330.9,338.8,gplates,315,mid,-8.49,-29.11,marginal marine indet.,"A. J. Jeram. 1994. Scorpions from the Viséan of East Kirkton, West Lothian, Scotland, with a revision of the infraorder Mesoscorpionina. Transactions of the Royal Society of Edinburgh: Earth Sciences 84:283-299",Low
Benniescorpio tuberculatus,Benniescorpio,1,Early Carboniferous,Asbian,,339.4,336,337.7,gplates,313,mid,-8.7,-27.21,marine indet.,"B. N. Peach. 1883. A new species of fossil scorpions from the Carboniferous rocks of Scotland and the English borders, with a review of the genera Eoscorpius and Mazonia of Messrs Meek and Worthen. Transactions of the Royal Society of Edinburgh 30:397-412",High
Archaeoctonus glaber,Archaeoctonus,1,Early Carboniferous,Asbian,,339.4,336,337.7,gplates,313,mid,-8.7,-27.21,marine indet.,"B. N. Peach. 1883. A new species of fossil scorpions from the Carboniferous rocks of Scotland and the English borders, with a review of the genera Eoscorpius and Mazonia of Messrs Meek and Worthen. Transactions of the Royal Society of Edinburgh 30:397-412",High
Pulmonoscorpius,Pulmonoscorpius,2,Early Carboniferous,Brigantian,,336,326.4,331.2,gplates,313,mid,-4.83,-20.31,terrestrial indet.,"A. J. Jeram. 1994. Scorpions from the Viséan of East Kirkton, West Lothian, Scotland, with a revision of the infraorder Mesoscorpionina. Transactions of the Royal Society of Edinburgh: Earth Sciences 84:283-299",Low
Pulmonoscorpius kirktonensis,Pulmonoscorpius,2,Early Carboniferous,Brigantian,,336,326.4,331.2,gplates,313,mid,-4.83,-20.31,lacustrine - large,"A. J. Jeram. 1994. Scorpions from the Viséan of East Kirkton, West Lothian, Scotland, with a revision of the infraorder Mesoscorpionina. Transactions of the Royal Society of Edinburgh: Earth Sciences 84:283-299",Low
Eoscorpius bornaensis,Eoscorpius,1,Early Carboniferous,Brigantian,,336,326.4,331.2,gplates,305,mid,9.84,-23.56,pond,J. T. Sterzel. 1918. Die organischen Reste des Kulms und Rotliegenden der Gegend von Chemnitz. Abhandlungen der Mathematische-Physischen Klasse der Sächsischen Akademie der Wissenschaften 53:203-315,Low
Waterstonia brachistodactyla,Waterstonia,1,Early Carboniferous,Pendleian,,326.4,318.1,322.25,gplates,313,mid,-0.49,-9.92,terrestrial indet.,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-287,Low
Labriscorpio alliedensis,Waeringoscorpio,1,Late Carboniferous,Bashkirian,,323.2,315.2,319.2,gplates,101,mid,-31.87,-12.48,terrestrial indet.,"R. L. Leary. 1980. Labriscorpio alliedensis: a new Carboniferous scorpion from Rock Island County, Illinois. Journal of Paleontology 54:1255-1257",High
Anthracoscorpio dunlopi,Anthracoscorpio,2,Late Carboniferous,Westphalian A,,318.1,314.6,316.35,gplates,313,mid,3.42,-3.07,terrestrial indet.,R. I. Pocock. 1911. A Monograph of the Terrestrial Carboniferous Arachnida of Great Britain,High
Compsoscorpius buthiformis,Compsoscorpius,1,Late Carboniferous,Westphalian A,,318.1,314.6,316.35,gplates,315,mid,4.71,-5.21,delta plain,R. I. Pocock. 1911. A Monograph of the Terrestrial Carboniferous Arachnida of Great Britain,High
Eobuthus holti,Eobuthus,1,Late Carboniferous,Westphalian A,,318.1,314.6,316.35,gplates,315,mid,4.71,-5.21,delta plain,R. I. Pocock. 1911. A Monograph of the Terrestrial Carboniferous Arachnida of Great Britain,High
Eoscorpius sparthensis,Eoscorpius,1,Late Carboniferous,Westphalian A,,318.1,314.6,316.35,gplates,315,mid,4.71,-5.21,delta plain,"W. Baldwin and W. H. Sutcliffe. 1904. Eoscorpius sparthensis sp. nov., from the Middle Coal-Measures of Lancashire. Quarterly Journal of the Geological Society 60:394-399",High
Mazonia acadica,Mazonia,1,Late Carboniferous,Westphalian A,,318.1,314.6,316.35,gplates,108,mid,-10.29,-13.31,mire/swamp,"S. H. Scudder. 1895. Canadian fossil insects, myriapods and arachnids, 3. Notes upon myriapods and arachnids found in sigillarian stumps in the Nova Scotia coal field. Geological Survey of Canada Contributions to Canadian Palaeontology 2(1):57-66",Medium
Mazonia,Mazonia,1,Late Carboniferous,Westphalian A,,318.1,314.6,316.35,gplates,108,mid,-10.29,-13.31,mire/swamp,"S. H. Scudder. 1895. Canadian fossil insects, myriapods and arachnids, 3. Notes upon myriapods and arachnids found in sigillarian stumps in the Nova Scotia coal field. Geological Survey of Canada Contributions to Canadian Palaeontology 2(1):57-66",Medium
Mazonia wardingleyi,Mazonia,1,Late Carboniferous,Westphalian A,,318.1,314.6,316.35,gplates,315,mid,4.71,-5.21,delta plain,"H. Woodward. 1907. Further notes on the Arthropoda of the British Coal-Measures. The Geological Magazine, New Series, Decade V 4:539-549",High
Heloscorpio sutcliffei,Heloscorpio,1,Late Carboniferous,Westphalian A,,318.1,314.6,316.35,gplates,315,mid,4.71,-5.21,delta plain,"H. Woodward. 1907. Further notes on the Arthropoda of the British Coal-Measures. The Geological Magazine, New Series, Decade V 4:539-549",High
Aspiscorpio eagari,Aspiscorpio,1,Late Carboniferous,Westphalian A,,318.1,314.6,316.35,gplates,315,mid,4.71,-5.21,delta plain,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-287,Low
Garnettius,Garnettius,1,Late Carboniferous,Westphalian A,,318.1,314.6,316.35,gplates,313,mid,3.42,-3.07,terrestrial indet.,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-288,Low
Eobuthus,Eobuthus,1,Late Carboniferous,Westphalian A,Westphalian B,318.1,314.6,316.35,gplates,315,mid,10.16,-6.79,terrestrial indet.,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-289,Low
Eoscorpius mucronatus,Eoscorpius,1,Late Carboniferous,Westphalian A,,318.1,314.6,316.35,gplates,315,mid,5.1,-5.22,terrestrial indet.,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-290,Low
Eoscorpius casei,Eoscorpius,1,Late Carboniferous,Westphalian A,,318.1,314.6,316.35,gplates,108,mid,-10.31,-13.64,terrestrial indet.,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-291,Low
Benniescorpio tuberculatus,Benniescorpio,1,Late Carboniferous,Westphalian A,,318.1,314.6,316.35,gplates,313,mid,3.82,-2.79,terrestrial indet.,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-292,Low
Isobuthus pottsvillensis,Isobuthus,1,Late Carboniferous,Westphalian A,Westphalian B,318.1,314.6,316.35,gplates,101,mid,-28.58,-13.27,terrestrial indet.,"J. I. Moore. 1923. A review of the present knowledge of fossil scorpions with the description of a new species from the Pottsville Formation of Clay County, Indiana. Proceedings of the Indiana Academy of Science 38:125-134",High
Waterstonia aidriensis,Waterstonia,1,Late Carboniferous,Westphalian A,,318.1,314.6,316.35,gplates,313,mid,3.38,-3.09,terrestrial indet.,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-287,Low
Compsoscorpius buthiformis,Compsoscorpius,1,Late Carboniferous,Westphalian A,,318.1,314.6,316.35,gplates,315,mid,4.87,-5.54,mire/swamp,A. J. Jeram. 1994. Carboniferous Orthosterni and their relationships to living scorpions. Palaeontology 37:513-550,High
Compsoscorpius buthiformis,Compsoscorpius,7,Late Carboniferous,Westphalian A,,318.1,314.6,316.35,gplates,315,mid,4.77,-5.28,terrestrial indet.,A. J. Jeram. 1994. Carboniferous Orthosterni and their relationships to living scorpions. Palaeontology 37:513-550,High
Compsoscorpius buthiformis,Compsoscorpius,1,Late Carboniferous,Westphalian A,,318.1,314.6,316.35,gplates,315,mid,4.83,-4.08,terrestrial indet.,A. J. Jeram. 1994. Carboniferous Orthosterni and their relationships to living scorpions. Palaeontology 37:513-550,High
Gymnoscorpius mutillidigitus,Gymnoscorpius,1,Late Carboniferous,Westphalian A,,318.1,314.6,316.35,gplates,315,mid,4.43,-5.33,terrestrial indet.,A. J. Jeram. 1994. Carboniferous Orthosterni and their relationships to living scorpions. Palaeontology 37:513-550,High
Compsoscorpius buthiformis,Compsoscorpius,27,Late Carboniferous,Westphalian A,,318.1,314.6,316.35,gplates,315,mid,4.43,-5.33,terrestrial indet.,A. J. Jeram. 1994. Carboniferous Orthosterni and their relationships to living scorpions. Palaeontology 37:513-550,High
Compsoscorpius buthiformis,Compsoscorpius,1,Late Carboniferous,Westphalian B,,314.6,314.6,314.6,gplates,315,mid,5.53,-5.21,interdistributary bay,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-287,Low
Paraisobuthus duobicarinatus,Paraisobuthus,1,Late Carboniferous,Westphalian B,,314.6,314.6,314.6,gplates,315,mid,5.92,-4.71,delta plain,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-288,Low
Compsoscorpius buthiformis,Compsoscorpius,4,Late Carboniferous,Westphalian B,,314.6,314.6,314.6,gplates,315,mid,5.53,-5.21,interdistributary bay,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-289,Low
Compsoscorpius buthiformis,Compsoscorpius,1,Late Carboniferous,Westphalian B,,314.6,314.6,314.6,gplates,315,mid,5.53,-5.21,interdistributary bay,A. I. Petrunkevitch. 1949. A study of the structure classification and relationships of the Palaeozoic Arachnida based on the collections of the British Museum. Transactions of the Connecticut Academy of Arts and Sciences 37:69-315,Low
Compsoscorpius buthiformis,Compsoscorpius,1,Late Carboniferous,Westphalian B,,314.6,314.6,314.6,gplates,315,mid,5.95,-4.75,deltaic indet.,"L. J. Wills. 1960. The external anatomy of some Carboniferous ""scorpions"" part 2. Palaeontology 3:276-332",High
Compsoscorpius buthiformis,Compsoscorpius,1,Late Carboniferous,Westphalian B,,314.6,314.6,314.6,gplates,315,mid,5.53,-5.21,interdistributary bay,A. I. Petrunkevitch. 1949. A study of the structure classification and relationships of the Palaeozoic Arachnida based on the collections of the British Museum. Transactions of the Connecticut Academy of Arts and Sciences 37:69-315,Low
Compsoscorpius buthiformis,Compsoscorpius,1,Late Carboniferous,Westphalian B,,314.6,314.6,314.6,gplates,315,mid,5.53,-5.21,interdistributary bay,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-287,Low
Cyclophthalmus robustus,Cyclophthalmus,1,Late Carboniferous,Westphalian B,,314.6,314.6,314.6,gplates,315,mid,5.53,-5.21,interdistributary bay,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-288,Low
Eoscorpius pulcher,Eoscorpius,2,Late Carboniferous,Westphalian B,,314.6,314.6,314.6,gplates,315,mid,5.33,-2.8,delta plain,A. I. Petrunkevitch. 1949. A study of the structure classification and relationships of the Palaeozoic Arachnida based on the collections of the British Museum. Transactions of the Connecticut Academy of Arts and Sciences 37:69-315,Low
Eoscorpius mucronatus,Eoscorpius,1,Late Carboniferous,Westphalian B,,314.6,314.6,314.6,gplates,315,mid,5.33,-2.8,delta plain,A. I. Petrunkevitch. 1949. A study of the structure classification and relationships of the Palaeozoic Arachnida based on the collections of the British Museum. Transactions of the Connecticut Academy of Arts and Sciences 37:69-315,Low
Eoscorpius distinctus,Eoscorpius,1,Late Carboniferous,Westphalian B,,314.6,314.6,314.6,gplates,315,mid,5.53,-5.21,interdistributary bay,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-287,Low
Pareobuthus salopiensis,Pareobuthus,1,Late Carboniferous,Westphalian B,,314.6,314.6,314.6,gplates,315,mid,4.89,-4.93,terrestrial indet.,"L. J. Wills. 1959. The external anatomy of some Carboniferous ""scorpions"" part 1. Palaeontology 1:261-282",High
