accepted_name,genus,abund_value,period,early_interval,late_interval,max_ma,min_ma,"Avg(max_ma, min_ma)",paleomodel,geoplate,paleoage,paleolng,paleolat,environment,primary_reference,Quality
Araripescorpius ligabuei,Araripescorpius,1,Early Cretaceous,Late Aptian,,122.46,112.03,117.245,gplates,201,mid,2.59,-4.99,lacustrine - large,"D. R. B. Campos. 1986. Primeiro registro fóssil de Scorpionoidea da Chapada do Araripe (Cretáceo Inferior), Brasil. Anais da Academia Brasileira de Ciências 58:135-137",Low
Protoischnurus axelrodorum,Protoischnurus,1,Early Cretaceous,Late Aptian,,122.46,112.03,117.245,gplates,201,mid,2.59,-4.99,lacustrine - large,"M. G. P. de Carvalho, J. G. Maisey, and I. D. Mendes, I. S. Carvalho. 2023. Micro-tomographic analysis of a scorpion fossil from the Aptian Crato Formation of northeastern Brazil. Cretaceous Research 147(105454)",High
Palaeoeuscorpius gallicus,Palaeoeuscorpius,1,Early Cretaceous,Late Albian,,105.3,99.6,102.45,gplates,305,mid,17.26,42.97,terrestrial indet.,W. R. Lourenço. 2003. The first scorpion fossil from the Cretaceous amber of France. New implications for the phylogeny of Chactoidea. Comptes Rendus Palevol 2:213-219,High
Palaeotrilineatus ellenbergeri,Palaeotrilineatus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"W. R. Lourenço. 2012. About the scorpion fossils from the Cretaceous amber of Myanmar (Burma) with the descriptions of a new family, genus and species. Acta Biológica Paranaense 41:75-87",Low
Palaeoburmesebuthus grimaldii,Palaeoburmesebuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,W. R. Lourenço. 2002. The first scorpion fossil from the Cretaceous amber of Myanmar (Burma). New implications for the phylogeny of Buthoidea. Comptes Rendues Palevol 1:97-101,High
Chaerilobuthus complexus,Chaerilobuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,W. R. Lourenço and A. Beigel. 2011. A new scorpion fossil from the Cretaceous amber of Myanmar (Burma). New phylogenetic implications. Comptes Rendus Palevol 10:635-639,High
Electrochaerilus buckleyi,Electrochaerilus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"J. A. Santiago-Blay, V. Fet, and M. E. Soleglad, S. R. Anderson. 2004. A new genus and subfamily of scorpions from Lower Cretaceous Burmese amber (Scorpiones: Chaerilidae). Revista Ibérica de Aracnología 9:3-14",High
Palaeoburmesebuthus grimaldii,Palaeoburmesebuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"J. A. Santiago-Blay, V. Fet, and M. E. Soleglad, P. R. Craig. 2004. The second Cretaceous scorpion specimen from Burmese amber (Arachnida: Scorpiones). Journal of Systematic Palaeontology 2:147-152",High
Chaerilobuthus longiaculeus,Chaerilobuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"W. R. Lourenço. 2013. A new species of Chaerilobuthus Lourenço & Beigel, 2011 from Cretaceous Burmese amber (Scorpiones: Chaerilobuthidae). Acta Biológica Paranaense 42:1-5",High
Betaburmesebuthus bellus,Betaburmesebuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,W. R. Lourenço. 2016. A preliminary synopsis on amber scorpions with special reference to Burmite species: an extraordinary development of our knowledge in only 20 years. ZooKeys 600:75-87,High
Burmesescorpiops groehni,Burmesescorpiops,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,W. R. Lourenço. 2016. A new genus and three new species of scorpions from Cretaceous Burmese amber (Scorpiones: Chaerilobuthidae: Palaeoeuscorpiidae). Arthropoda Selecta 25:67-74,High
Chaerilobuthus gigantosternum,Chaerilobuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,W. R. Lourenço. 2016. A new genus and three new species of scorpions from Cretaceous Burmese amber (Scorpiones: Chaerilobuthidae: Palaeoeuscorpiidae). Arthropoda Selecta 25:67-74,High
Chaerilobuthus serratus,Chaerilobuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,W. R. Lourenço. 2016. A new genus and three new species of scorpions from Cretaceous Burmese amber (Scorpiones: Chaerilobuthidae: Palaeoeuscorpiidae). Arthropoda Selecta 25:67-74,High
Archaeoscorpiops cretacicus,Archaeoscorpiops,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"W. R. Lourenço. 2015. A new subfamily, genus and species of fossil scorpions from Cretaceous Burmese amber (Scorpiones: Palaeoeuscorpiidae). Mesozoic Spiders (Araneae): Ancient Spider Faunas and Spider Evolution, Beiträge zur Araneologie 9:457-464",High
Palaeoburmesebuthus,Palaeoburmesebuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"W. R. Lourenço. 2015. Clarification of the familiar status of the genus Palaeoburmesebuthus Lourenço, 2002 from Cretaceous Burmese amber (Scorpiones: Archaeobuthidae: Palaeoburmesebuthinae).  In J. Wunderlich (ed.), Mesozoic Spiders (Araneae): Ancient Spider Faunas and Spider Evolution, Beiträge zur Araneologie 9:465-475",High
Chaerilobuthus birmanicus,Chaerilobuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"W. R. Lourenço. 2015. Clarification of the familiar status of the genus Palaeoburmesebuthus Lourenço, 2002 from Cretaceous Burmese amber (Scorpiones: Archaeobuthidae: Palaeoburmesebuthinae).  In J. Wunderlich (ed.), Mesozoic Spiders (Araneae): Ancient Spider Faunas and Spider Evolution, Beiträge zur Araneologie 9:465-475",High
Palaeoburmesebuthus ohlhoffi,Palaeoburmesebuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"W. R. Lourenço. 2015. Clarification of the familiar status of the genus Palaeoburmesebuthus Lourenço, 2002 from Cretaceous Burmese amber (Scorpiones: Archaeobuthidae: Palaeoburmesebuthinae).  In J. Wunderlich (ed.), Mesozoic Spiders (Araneae): Ancient Spider Faunas and Spider Evolution, Beiträge zur Araneologie 9:465-475",High
Chaerilobuthus bruckschi,Chaerilobuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"W. R. Lourenço. 2015. Clarification of the familiar status of the genus Palaeoburmesebuthus Lourenço, 2002 from Cretaceous Burmese amber (Scorpiones: Archaeobuthidae: Palaeoburmesebuthinae).  In J. Wunderlich (ed.), Mesozoic Spiders (Araneae): Ancient Spider Faunas and Spider Evolution, Beiträge zur Araneologie 9:465-475",High
Betaburmesebuthus kobberti,Betaburmesebuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"W. R. Lourenço and A. Beigel. 2015. A new genus and species of Palaeoburmesebuthinae Lourenço, 2015 (Scorpiones: Archaeobuthidae) from Cretaceous amber of Myanmar.  In J. Wunderlich (ed.), Mesozoic Spiders (Araneae): Ancient Spider Faunas and Spider Evolution, Beiträge zur Araneologie 9:476-480",Low
Cretaceousopisthacanthus smeelei,Cretaceousopisthacanthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,W. R. Lourenço and J. Velten. 2021. One more new genus and species of scorpion from Early Cretaceous Burmese amber (Scorpiones: Protoischnuridae). Faunitaxys 9(14):1-5,High
Betaburmesebuthus spinipedis,Betaburmesebuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"Q. Xuan, C. Y. Cai, and D. Y. Huang. 2022. A new Palaeoburmesebuthidae scorpion from mid-Cretaceous Burmese amber (Arachnida: Scorpiones: Buthoidea). Cretaceous Research 134(105165)",High
Betaburmesebuthus bellus,Betaburmesebuthus,2,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"Q. Xuan, C. Y. Cai, and D. Y. Huang. 2023. Revision of palaeoburmesebuthid scorpions in mid-Cretaceous amber from northern Myanmar (Scorpiones: Buthoidea). Palaeoentomology 6:64-101",High
Betaburmesebuthus kobberti,Betaburmesebuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"Q. Xuan, C. Y. Cai, and D. Y. Huang. 2023. Revision of palaeoburmesebuthid scorpions in mid-Cretaceous amber from northern Myanmar (Scorpiones: Buthoidea). Palaeoentomology 6:64-101",High
Betaburmesebuthus fleissneri,Betaburmesebuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"Q. Xuan, C. Y. Cai, and D. Y. Huang. 2023. Revision of palaeoburmesebuthid scorpions in mid-Cretaceous amber from northern Myanmar (Scorpiones: Buthoidea). Palaeoentomology 6:64-101",High
Betaburmesebuthus,Betaburmesebuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"Q. Xuan, C. Y. Cai, and D. Y. Huang. 2023. Revision of palaeoburmesebuthid scorpions in mid-Cretaceous amber from northern Myanmar (Scorpiones: Buthoidea). Palaeoentomology 6:64-101",High
Betaburmesebuthus larafleissnerae,Betaburmesebuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"Q. Xuan, C. Y. Cai, and D. Y. Huang. 2023. Revision of palaeoburmesebuthid scorpions in mid-Cretaceous amber from northern Myanmar (Scorpiones: Buthoidea). Palaeoentomology 6:64-101",High
Betaburmesebuthus muelleri,Betaburmesebuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"Q. Xuan, C. Y. Cai, and D. Y. Huang. 2023. Revision of palaeoburmesebuthid scorpions in mid-Cretaceous amber from northern Myanmar (Scorpiones: Buthoidea). Palaeoentomology 6:64-101",High
Betaburmesebuthus villosus,Betaburmesebuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"Q. Xuan, C. Y. Cai, and D. Y. Huang. 2023. Revision of palaeoburmesebuthid scorpions in mid-Cretaceous amber from northern Myanmar (Scorpiones: Buthoidea). Palaeoentomology 6:64-101",High
Betaburmesebuthus fuscus,Betaburmesebuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"Q. Xuan, C. Y. Cai, and D. Y. Huang. 2023. Revision of palaeoburmesebuthid scorpions in mid-Cretaceous amber from northern Myanmar (Scorpiones: Buthoidea). Palaeoentomology 6:64-101",High
Chaerilus,Chaerilus,2,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"Q. Xuan, C. Y. Cai, and D. Y. Huang. 2023. Immature chaerilid scorpions from mid-Cretaceous amber of northern Myanmar (Arachnida: Scorpiones: Chaeriloidea). Cretaceous Research 144(105461)",High
Betaburmesebuthus knodelorum,Betaburmesebuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"W. R. Lourenço. 2021. Further comments on the elements of the family Palaeoburmesebuthidae Lourenço, 2015 with description of a new species of Spinoburmesebuthus Lourenço, 2017 from Early Cretaceous Burmite amber (Scorpiones). Faunitaxys 9(17):1-6",High
Chaerilobuthus meggeri,Chaerilobuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"W. R. Lourenço and J. Velten. 2021. Early Cretaceous Burmite fossils of the genus Chaerilobuthus Lourenço & Beigel, 2011 (Scorpiones: Chaerilobuthidae) and description of a particular new species. Faunitaxys 9(30):1-5",High
Chaerilobuthus brandti,Chaerilobuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"W. R. Lourenço and J. Velten. 2022. The remarkable variability of the genus Chaerilobuthus Lourenço & Beigel, 2011 (Scorpiones: Chaerilobuthidae) and description of a new species from Early Cretaceous Burmite. Faunitaxys 10(10):1-6",High
Cretaceousbuthus fraaijeorum,Cretaceousbuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,W. R. Lourenço and J. Velten. 2022. Further insights on Cretaceous Burmite scorpions with the descriptions of a new genus and species (Scorpiones: Buthoidea: Buthidae). Faunitaxys 10(35):1-5,High
Cretaceousbuthus petersi,Cretaceousbuthus,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"W. R. Lourenço and J. Velten. 2023. Confirmation of the validity of the genus Cretaceousbuthus Lourenço, 2022 and description of a new species from Burmite (Scorpiones: Buthoidea: Buthidae). Faunitaxys 11(35):1-6",High
Cretaceoushormiops staxi,Cretaceoushormiops,1,Late Cretaceous,Early Cenomanian,,99.6,93.5,96.55,gplates,617,mid,105.5,8.29,terrestrial indet.,"W. R. Lourenço and J. Velten. 2022. A second new species for the genus Cretaceoushormiops Lourenço, 2018 from Cretaceous Burmite (Scorpiones: Protoischnuridae). Faunitaxys 10(43):1-5",High
Eoeuscorpius ceratoi,Eoeuscorpius,1,Early Palaeocene,Ypresian,,56,47.8,51.9,gplates,307,mid,18.59,33.43,lagoonal/restricted shallow subtidal,"G. Kühl and W. R. Lourenço. 2017. A new genus and species of fossil scorpion (?Euscorpiidae) from the Early–Middle Eocene of Pesciara (Bolca, Italy). PalZ 91:283-290",High
Uintascorpio halandrasorum,Uintascorpio,1,Middle Eocene,Bridgerian,,50.3,46.2,48.25,gplates,101,mid,-85.09,46.95,lacustrine - large,"M. L. Perry. 1995. Preliminary description of a new fossil scorpion from the middle Eocene Green River Formation, Rio Blanco County, Colorado.  In W. R. Averitt (ed.), The Green River Formation in Piceance Creek and Eastern Uinta Basins. Grand Junction, CO: Grand Junction Geological Society.",Low
Palaeoananteris ukrainensis,Palaeoananteris,1,Late Eocene,Priabonian,,38,33.9,35.95,gplates,302,mid,29.17,44.71,terrestrial indet.,"W. R. Lourenço and W. Weitschat. 2009. A new species of Palaeoananteris Lourenço & Weitschat, 2001, fossil scorpion from Ukrainian amber (Scorpiones, Buthidae). Boletín Sociedad Entomológica Aragonesa 45:231-235",Medium
Palaeolychas weitschati,Palaeolychas,1,Late Eocene,Priabonian,,38,33.9,35.95,gplates,302,mid,23.19,48.33,terrestrial indet.,"W. R. Lourenço. 2012. Further considerations on scorpions found in Baltic amber, with a description of a new species (Scorpiones: Buthidae). Euscorpius - Occasional Publications in Scorpiology 146:1-7",High
Palaeotityobuthus longiaculeus,Palaeotityobuthus,1,Late Eocene,Priabonian,,38,33.9,35.95,gplates,302,mid,23.19,48.33,terrestrial indet.,W. R. Lourenço and W. Weitschat. 2000. New fossil scorpions from the Baltic amber - implications for Cenozoic biodiversity. Mitteilungen aus dem Geologisch-Paläontologischen Institut der Universität Hamburg 84:247-260,Low
Palaeoprotobuthus pusillus,Palaeoprotobuthus,1,Late Eocene,Priabonian,,38,33.9,35.95,gplates,302,mid,23.19,48.33,terrestrial indet.,W. R. Lourenço and W. Weitschat. 2000. New fossil scorpions from the Baltic amber - implications for Cenozoic biodiversity. Mitteilungen aus dem Geologisch-Paläontologischen Institut der Universität Hamburg 84:247-260,Low
Palaeoakentrobuthus knodeli,Palaeoakentrobuthus,1,Late Eocene,Priabonian,,38,33.9,35.95,gplates,302,mid,23.19,48.33,terrestrial indet.,W. R. Lourenço and W. Weitschat. 2000. New fossil scorpions from the Baltic amber - implications for Cenozoic biodiversity. Mitteilungen aus dem Geologisch-Paläontologischen Institut der Universität Hamburg 84:247-260,Low
Palaeolychas balticus,Palaeolychas,1,Late Eocene,Priabonian,,38,33.9,35.95,gplates,302,mid,23.19,48.33,terrestrial indet.,"W. R. Lourenço and W. Weitschat. 1996. More than 120 years after its description, the enigmatic status of the genus of the Baltic amber scorpion ""Tityus eogenus"" Menge, 1869 can finally be clarified. Mitteilungen aus dem Geologisch-Paläontologischen Institut der Universität Hamburg 79:183-193",Low
Palaeospinobuthus cenozoicus,Palaeospinobuthus,1,Late Eocene,Priabonian,,38,33.9,35.95,gplates,302,mid,23.19,48.33,terrestrial indet.,"W. R. Lourenço, H. Henderickx, and W. Weitschat. 2005. A new genus and species of fossil scorpion from Baltic amber (Scorpiones, Buthidae). Mitteilungen aus dem Geologisch-Paläontologischen Institut der Universität Hamburg 89:159-166",Low
Palaeoisometrus elegans,Palaeoisometrus,1,Late Eocene,Priabonian,,38,33.9,35.95,gplates,302,mid,23.19,48.33,terrestrial indet.,"W. R. Lourenço and W. Weitschat. 2005. A new genus and species of fossil scorpion from a different kind of Baltic amber (Scorpiones, Buthidae). Mitteilungen aus dem Geologisch-Paläontologischen Institut der Universität Hamburg 89:183-188",Low
Palaeoananteris ribnitiodamgartensis,Palaeoananteris,1,Late Eocene,Priabonian,,38,33.9,35.95,gplates,302,mid,23.19,48.33,terrestrial indet.,"W. R. Lourenço and W. Weitschat. 2001. Description of another fossil scorpion from Baltic amber, with considerations on the evolutionary levels of Cenozoic Buthoidea. Mitteilungen aus dem Geologisch-Paläontologischen Institut der Universität Hamburg 85:277-283",Low
Palaeoananteris wunderlichi,Palaeoananteris,1,Late Eocene,Priabonian,,38,33.9,35.95,gplates,302,mid,23.19,48.33,terrestrial indet.,"W. R. Lourenço. 2004. Description of a further species of fossil scorpion in Baltic amber.  In J. Wunderlich (ed.), Beiträge zur Araneologie 3:1886-1889",Low
Centruroides,Centruroides,1,Miocene,Early Miocene,,23.03,15.97,19.5,gplates,205,mid,-86.05,20.73,terrestrial indet.,J. A. Santiago-Blay and G. O. Poinar. 1993. First scorpion (Buthidae: Centruroides) from Mexican amber (Lower Miocene to Upper Oligocene). The Journal of Arachnology 21:147-151,Low
Tityus apozonalli,Tityus,1,Miocene,Early Miocene,,23.03,15.97,19.5,gplates,205,mid,-86.16,20.72,terrestrial indet.,"F. Riquelme, G. Villegas-Guzmán, and E. González-Santillán, V. Córdova-Tabares, O. F. Francke, D. Piedra-Jiménez, E. Estrada-Ruiz, B. Luna-Castro. 2015. New fossil scorpion from the Chiapas amber lagerstätte. PLoS One 10(8):e0133396",High
Sinoscorpius shandongensis,Sinoscorpius,1,Miocene,Burdigalian,,20.44,15.97,18.205,gplates,604,mid,116.08,35.44,lacustrine - large,Y. C. Hong. 1983. Discovery of Miocene Scorpius from the diatoms of Shanwang in Shandong Province. Bulletin of the Tianjin Institute of Geology and Mineral Resources 8:18-21,Low
Centruroides nitidus,Centruroides,1,Miocene,Burdigalian,Langhian,20.44,13.82,17.13,gplates,252,mid,-66.62,20.82,terrestrial indet.,"W. Schawaller. 1979. Erstnachweis eines Skorpions in Dominikanischem Bernstein (Stuttgarter Bernsteinsammlung: Arachnida, Scorpionida). Stuttgarter Beiträge zur Naturkunde Serie B (Geologie und Paläontologie) 45:1-15",High
Tityus geratus,Tityus,1,Miocene,Burdigalian,Langhian,20.44,13.82,17.13,gplates,252,mid,-66.76,20.87,terrestrial indet.,"W. R. Lourenço. 2009. A new species of Tityus C. L. Koch, 1836 (subgenus Brazilotityus Lourenço, 2006) from the Dominican amber (Scorpiones: Buthidae). Euscorpius - Occasional Publications in Scorpiology 83:1-5",High
Microtityus ambarensis,Microtityus,1,Miocene,Burdigalian,Langhian,20.44,13.82,17.13,gplates,252,mid,-66.62,20.82,terrestrial indet.,"W. Schawaller. 1982. Zwei weitere Skorpione in Dominikanischem Bernstein (Stuttgarter Bernstelnsammlung: Arachnida, Scorplonida). Stuttgarter Beiträge zur Naturkunde Serie B (Geologie und Paläontologie) 82:1-14",High
Tityus geratus,Tityus,1,Miocene,Burdigalian,Langhian,20.44,13.82,17.13,gplates,252,mid,-66.76,20.87,terrestrial indet.,"W. R. Lourenço. 2013. A new species of Tityus C. L. Koch, 1836 (Scorpiones: Buthidae) from Dominican amber. Euscorpius - Occasional Publications in Scorpiology 156:1-5",High
Tityus geratus,Tityus,1,Miocene,Burdigalian,Langhian,20.44,13.82,17.13,gplates,252,mid,-66.62,20.82,terrestrial indet.,J. A. Santiago-Blay and G. O. Poinar. 1988. A fossil scorpion Tityus geratus new species (Scorpiones: Buthidae) from Dominican amber. Historical Biology 1:345-354,Low
Mioscorpio zeuneri,Mioscorpio,8,Miocene,Sarmatian,,12.7,11.608,12.154,gplates,305,mid,11.18,46.2,spring,J. Hadzi. 1931. Skorpionenreste aus dem tertiären Sprudelsinter von Böttingen (Schwäbische Alb). Paläontologische Zeitschrift 13:134-148,Low
Microcharmus henderickxi,Microcharmus,1,Late Holocene,Holocene,,0.0117,0,0.00585,gplates,not computable using this model,mid,50.150002,-14.27,terrestrial indet.,"W. R. Lourenço. 2009. A new sub-fossil scorpion of the genus Microcharmus Lourenço, 1995 from Malagasy copal (Scorpiones, Microcharmidae). Boletín Sociedad Entomológica Aragonesa 44:135-137",High
Palaeogrosphus jacquesi,Palaeogrosphus,1,Late Holocene,Holocene,,0.0117,0,0.00585,gplates,not computable using this model,mid,50.150002,-14.27,terrestrial indet.,"W. R. Lourenço and H. Henderickx. 2012. Another new sub-fossil species of scorpion of the genus Palaeogrosphus Lourenço, 2000 from Malagasy copal (Scorpiones: Buthidae). Euscorpius - Occasional Publications in Scorpiology 137:1-4",High
Palaeogrosphus copalensis,Palaeogrosphus,1,Late Holocene,Holocene,,0.0117,0,0.00585,gplates,not computable using this model,mid,49.290001,-12.3,terrestrial indet.,"W. R. Lourenço. 1996. Premier cas connu d'un sub-fossile de scorpion dans le copal de Madagascar. Comptes Rendus de l'Académie des Sciences Paris, Série IIa, Sciences de la Terre et des Planètes 323:889-891",Low
Chactas pleistocenicus,Chactas,1,Late Holocene,Holocene,,0.0117,0,0.00585,gplates,not computable using this model,mid,-73.660004,5.75,terrestrial indet.,"W. R. Lourenço and W. Weitschat. 2005. First sub-fossil scorpion of the genus Chactas Gervais from Colombian copal (Scorpiones, Chactidae). Mitteilungen aus dem Geologisch-Paläontologischen Institut der Universität Hamburg 89:179-182",Low