long,lat,Cen_Copy
32.478662,-9.035229,Absent
32.481587,-9.034813,Absent
32.48123,-9.035634,Absent
32.480851,-9.036417,Absent
32.479602,-9.038866,Absent
32.478436,-9.041388,Absent
32.478123,-9.042657,Absent
32.477688,-9.044003,Absent
32.477636,-9.044492,Absent
32.485131,-9.030679,Absent
32.484895,-9.031099,Absent
32.4838,-9.033095,Absent
32.483333,-9.034388,Absent
32.482986,-9.035215,Absent
32.482637,-9.036102,Absent
32.482326,-9.036879,Absent
32.481615,-9.038606,Absent
32.481544,-9.039047,Absent
32.481412,-9.03949,Absent
32.480952,-9.04032,Absent
32.480842,-9.040747,Absent
32.480729,-9.041175,Absent
32.480283,-9.042024,Absent
32.480141,-9.042436,Absent
32.479701,-9.043772,Absent
32.479649,-9.044653,Absent
32.479617,-9.04514,Absent
32.479731,-9.04555,Absent
32.48316,-9.043375,Absent
32.482868,-9.043086,Absent
32.481756,-9.042298,Absent
32.481368,-9.042034,Absent
32.480966,-9.041857,Absent
32.480966,-9.041857,Absent
32.480966,-9.041857,Absent
32.479314,-9.041038,Absent
32.48438,-9.041667,Absent
32.48403,-9.041437,Absent
32.483623,-9.041195,Absent
32.483188,-9.04097,Absent
32.482568,-9.040358,Absent
32.482145,-9.040117,Absent
32.481745,-9.039931,Absent
32.481306,-9.039743,Absent
32.480921,-9.039503,Absent
32.480608,-9.039208,Absent
32.479821,-9.038699,Absent
32.479535,-9.038405,Absent
32.479075,-9.0382,Absent
32.481106,-9.03709,Absent
32.481884,-9.037676,Absent
32.482231,-9.03791,Absent
32.482626,-9.038084,Absent
32.483038,-9.038313,Absent
32.480347,-9.031979,Present
32.480119,-9.032387,Present
32.479875,-9.032782,Present
32.479604,-9.03314,Present
32.479339,-9.033597,Present
32.478527,-9.035697,Present
32.478353,-9.036085,Present
32.478353,-9.036085,Present
32.478353,-9.036085,Present
32.481969,-9.033962,Present
32.481786,-9.034384,Present
32.481006,-9.036019,Present
32.479993,-9.038013,Present
32.479993,-9.038013,Present
32.479993,-9.038013,Present
32.479471,-9.039327,Present
32.48424,-9.032325,Present
32.483444,-9.033954,Present
32.482469,-9.036506,Present
32.482114,-9.037339,Present
32.481948,-9.037779,Present
32.481785,-9.038191,Present
32.48124,-9.039899,Present
32.48007,-9.042911,Present
32.479634,-9.044229,Present
32.482498,-9.042826,Present
32.482103,-9.042627,Present
32.479737,-9.041229,Present
32.477425,-9.039806,Present
32.482914,-9.040605,Present
32.480212,-9.038981,Present
32.478854,-9.0355,Present